Periode,pnbp_minyak_bumi
7/31/2019,8.40823E+11
1/8/2019,5.44365E+11
5/8/2019,4.1943E+11
6/8/2019,1.25731E+11
9/8/2019,1.24666E+11
12/8/2019,3.98154E+11
8/13/2019,7.37658E+11
8/14/2019,3.72042E+11
8/15/2019,69634929000
8/16/2019,63899539800
8/19/2019,6.08859E+11
8/20/2019,4.3796E+11
8/21/2019,1.3847E+11
8/22/2019,4.13302E+11
8/23/2019,4.24761E+11
8/26/2019,2152777949
8/27/2019,2.30514E+11
8/28/2019,94818039559
8/30/2019,-9.51109E+12
3/9/2019,9.39402E+11
5/9/2019,54137100597
9/9/2019,2.6989E+11
10/9/2019,1.08486E+12
12/9/2019,20220455112
9/13/2019,7.10298E+11
9/17/2019,1.9224E+11
9/19/2019,3.0533E+11
9/20/2019,2.54111E+11
9/23/2019,367687489
9/24/2019,4.99452E+11
9/25/2019,3.90926E+11
9/30/2019,4.61792E+11
1/10/2019,1.36845E+12
2/10/2019,1.37255E+12
3/10/2019,217364
7/10/2019,4.82226E+11
9/10/2019,3.63164E+11
11/10/2019,4.09296E+11
10/14/2019,1.90502E+11
10/15/2019,4.25558E+11
10/16/2019,1.20263E+11
10/17/2019,4.5457E+11
10/18/2019,1.37985E+11
10/22/2019,2.68145E+11
10/23/2019,4.87827E+11
10/25/2019,6.40417E+11
10/28/2019,2.55378E+11
10/29/2019,5.18946E+11
10/30/2019,5.07632E+11
10/31/2019,8.03793E+11
1/11/2019,2.3785E+11
4/11/2019,60531226237
6/11/2019,4.74056E+11
8/11/2019,3.99399E+11
11/11/2019,4.54142E+11
12/11/2019,570025895
11/13/2019,3.07784E+11
11/15/2019,6.84306E+11
11/19/2019,1.00048E+12
11/20/2019,1.32726E+11
11/21/2019,5.76631E+11
11/22/2019,1.8655E+11
11/25/2019,3.71409E+11
11/26/2019,82223393
11/28/2019,1.89614E+11
11/29/2019,-68457955248
3/12/2019,1.60224E+12
5/12/2019,4.02882E+11
6/12/2019,1.35411E+11
10/12/2019,5.40554E+11
11/12/2019,5.26039E+11
12/13/2019,2.81234E+11
12/17/2019,6.95266E+11
12/18/2019,-7.40638E+12
12/19/2019,66657895609
12/20/2019,5.86432E+11
12/23/2019,6.10539E+11
12/27/2019,4.23393E+11
12/30/2019,1.59663E+11
12/31/2019,3.16537E+12
